# q:-1.000000e+00, m:1.000000e+00, N:480 - x,px,py,pz,w
1.796523177422488402e+02 -5.258325443345412964e-02 -4.501822768104230335e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.757647950551830434e+02 -1.759939975030936632e-01 -6.637385306687710587e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.828249722061298144e+02 5.554831352191126614e-02 1.960119556350644991e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.883820978335330381e+02 2.015713256624638294e-01 1.711746491255959624e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.914250238053442956e+02 7.439856881639023145e-02 1.042934652268140243e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.912985031339280226e+02 -1.146319132234898709e-02 6.007846520558967306e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.903498545621433493e+02 -1.147465510329004762e-01 1.751464881866012652e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.898747263574716158e+02 -1.640978443437873802e-01 1.863598307196879383e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.897242386087048089e+02 -1.853696753867484781e-01 1.698792967734706616e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.898670352910487225e+02 -1.817262424548916067e-01 1.862389671939368788e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.901412592719793793e+02 -1.674827966386503997e-01 1.812123447203078247e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.903628651196578687e+02 -1.565144683527011082e-01 1.848427692530198868e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.907032159063271308e+02 -1.445610508293203311e-01 1.478350313173043551e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.909034007485166740e+02 -1.402672360810304220e-01 1.314124743292276361e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.911926457747491384e+02 -1.349341618891563288e-01 7.432735979968233507e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.913709394386023632e+02 -1.331175320142093388e-01 4.926945138831339936e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.916418195893353982e+02 -1.313464103425081575e-01 -1.656978621654285264e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.918169295677990647e+02 -1.313440856160060788e-01 -4.542226548103017736e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.920864080883820009e+02 -1.313507093384473912e-01 -1.117716196275970325e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.922614529708937425e+02 -1.318025350199656942e-01 -1.376236496450758753e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.925299944778362544e+02 -1.317880121590781495e-01 -1.930989211909543701e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.927055991257859091e+02 -1.321479793185725560e-01 -2.087897469823926308e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.929741601971895761e+02 -1.320221946576604077e-01 -2.432748804527607583e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.931501786475694473e+02 -1.323329014969844841e-01 -2.427828440971572035e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.934182809771018015e+02 -1.321460557834518990e-01 -2.492833814006981813e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.935946459312696390e+02 -1.324131111992798981e-01 -2.295223706526245203e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.938623625503686014e+02 -1.321640688616980697e-01 -2.061502650366614509e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.940390806003015314e+02 -1.323693449374840903e-01 -1.677432665531398276e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.943063921380937700e+02 -1.320191800134859206e-01 -1.185226265756892522e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.944834308475323041e+02 -1.321212685644501672e-01 -6.597549514744465229e-03 0.000000000000000000e+00 1.963495408493620871e-03
