# q:1.000000e+00, m:1.836000e+03, N:480 - x,px,py,pz,w
1.886313070847604649e+02 -1.360530697954898116e+00 -6.492258867129747230e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.887694986437485625e+02 -1.243011624715369745e+00 -4.691046012540306398e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.890494166378277896e+02 -9.400103334199144678e-01 -8.240150254655836254e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.891880372380000210e+02 -8.047605069242473874e-01 1.168787476024508564e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.894620200408428730e+02 -5.751975713239343424e-01 5.091733607557872264e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.895973005651522953e+02 -4.799298998302827801e-01 6.970759873741862699e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.898655976517144097e+02 -3.158025164341223268e-01 1.031859186876743842e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.899994891408212538e+02 -2.377101390248570478e-01 1.175581300812258111e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.902667988631825438e+02 -9.244938338810662626e-02 1.396514315102049576e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.904001507959103208e+02 -2.858159154479508052e-02 1.471332527711218148e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.906660103345008679e+02 7.383861592203347368e-02 1.541068347370656497e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.907983426216332248e+02 1.071002043511683766e-01 1.536784590627747471e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.910616239570752271e+02 1.374505573196861952e-01 1.452572768131835113e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.911924478456991210e+02 1.344311741766174295e-01 1.374026007572669641e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.914530916324345355e+02 1.058304915557490011e-01 1.147209255465376360e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.915833518005306928e+02 8.985104898398374451e-02 1.004244028272843585e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.918439616079263033e+02 5.879221618193053445e-02 6.758846624878057929e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.919744177011005775e+02 4.583399275571602149e-02 4.954208571537811745e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.922355186376143763e+02 2.052026053350562707e-02 1.183272285239426666e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.923660673907072578e+02 4.740264288932521247e-03 -7.161781881177761711e-04 0.000000000000000000e+00 1.963495408493620871e-03
1.926272010824373240e+02 -2.975486174799485406e-02 -4.329249861169561300e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.927578137444602930e+02 -4.595638479470424281e-02 -6.015288966575771390e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.930191435759736009e+02 -7.518899021709564423e-02 -9.052883063230288477e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.931498597770256254e+02 -8.775097729073279285e-02 -1.035759301414718864e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.934113927477138191e+02 -1.088098702138136364e-01 -1.237986497263474268e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.935422004523617545e+02 -1.174592621942329440e-01 -1.305373212714952200e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.938039019367252820e+02 -1.304791295666142825e-01 -1.357789596191065137e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.939347913097776654e+02 -1.345555031179065386e-01 -1.343907302041776053e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.941966440150517030e+02 -1.376392248810621721e-01 -1.239777887862275781e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.943275977287988781e+02 -1.366092221552302477e-01 -1.149819679238976017e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.945895562025892787e+02 -1.297854181267052986e-01 -8.951867201851386804e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.947205515336869155e+02 -1.243411980006089573e-01 -7.394957173569166597e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.949825697895362282e+02 -1.101946033835506378e-01 -4.021424274935221296e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.951135826617229156e+02 -1.021063779389754095e-01 -2.238716702614513415e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.953756067594462991e+02 -8.506685161659192917e-02 1.403402322065959613e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.955066048378722598e+02 -7.695802059778547588e-02 3.237720879915742186e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.957685622732626314e+02 -6.336382394222991876e-02 6.848470019648699933e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.958995076817050744e+02 -5.913798170102695789e-02 8.562721294088825041e-03 0.000000000000000000e+00 1.963495408493620871e-03
1.961612993455463538e+02 -5.870679706844846024e-02 1.160058074308408654e-02 0.000000000000000000e+00 1.963495408493620871e-03
1.962921164775675322e+02 -6.448159820748601556e-02 1.286901672967129262e-02 0.000000000000000000e+00 1.963495408493620871e-03
